,0
0," Vous êtes très beaux ! Vous êtes très beaux, vous êtes très chaleureux et vous avez bien raison d'être là !"
1," Parce que c'est ici évidemment que nous allons partager la réflexion, la volonté, le choix d'un très grand nombre de Français et d'abord les Français des Pays de la Loire, d'abord des Nantais et de ceux quelquefois venus d'un peu plus loin dans l'Ouest et qui nous ont fait l'amitié d'être là"
2, Je veux saluer Isabelle Loirat
3," Je veux saluer Laurent Gérault, Conseiller régional"
4," Je vais en oublier comme chaque fois, mais je vous préviens à l'avance des regards de ""haine"" qui me frapperont !"
5," Je veux saluer Joël Guerriau, Sénateur de Loire-Atlantique, qui s'est exprimé avant moi à la tribune"
6," Je veux saluer Jacqueline Gourault, Sénateur du Loir-et-Cher"
7," Je veux saluer François Zocchetto, Président du groupe de l'Union centriste au Sénat, Sénateur de la Mayenne"
8," Et, bien sûr, je veux saluer Jean Arthuis, Président du Conseil général de la Mayenne, Sénateur de la Mayenne, qui, dans ses fonctions de Ministre de l'Économie, puis de Président de la Commission des finances du Sénat et très récemment de Rapporteur pour le Gouvernement français d'un rapport très important sur l'Euro et la Zone euro dont il vous a dit quelques mots, a été évidemment en premièr e ligne des problèmes que nous évoquons ensemble"
9," J'ai oublié au passage, mais je ne veux pas manquer de le saluer, Yann Wehrling, qui est notre porte-parole"
10," Pour nous, c'est une campagne parfaitement saisissable"
11," C'est une campagne parfaitement définie, c'est une campagne qui fixe avec précision ce qu'auraient dû être les débats du peuple français au moment d'arrêter les choix les plus importants de son avenir"
12," Pour nous, nous sommes entrés dans cette campagne électorale et j'y suis entré avec le sentiment, que je partage avec chacun d'entre vous, que probablement jamais depuis un demi-siècle, la France ne s'est trouvée dans la situation, dans l'inquiétude, dans le souci, comme elle l'est aujourd'hui"
13," Et puis, on a vu tout au long de la campagne électorale se multiplier les interventions totalement déconnectées de la réalité du pays, on a vu se multiplier les débats sur l'étiquetage de la viande hallal ou de la viande cascher dans les supermarchés, on a vu tout récemment naître de très importantes et magnifiques déclarations qui, d'ailleurs, ne changeaient rien à la situation du pays sur l'organisation du permis de conduire !"
14, Frivolités
15, tentatives pour que aucun des sujets qui sont les sujets vitaux de l'avenir de la France ne soient traités devant les Français
16," Eh bien, je vous le dis en une phrase : nous sommes là pour que la France ait devant elle un candidat et un projet politique qui expriment les projets qui sont les plus importants pour l'avenir de notre pays et de nos enfants"
17," Oh ! Nous ne sommes pas surpris, bien entendu, ni Jean Arthuis, ni moi, qui avons, depuis des mois, tiré la sonnette d'alarme sur la réalité de la situation du pays"
18," Nous ne sommes pas surpris, parce que, depuis des semaines et des semaines, nous disions : « Mais, on est en train, Français, citoyennes et citoyens, de se moquer de vous, on vous raconte des histoires, ce sont des illusions et des fariboles que l'on place devant vous ! »"
19," Cet après-midi même, trois informations sont sorties qui donnent la dimension de cette illusion que l'on présente devant les Français et de la tromperie que l'on est en train d'organiser devant eux"
20," Cet après-midi, le Fonds monétaire international a rendu publiques ses prévisions et il dit : 1"
21," Nous sommes déjà à 10 % de chômeurs dans la population active, mais ce chômage va continuer à progresser"
22," L'annonce qui a été faite qu'en 2013, François Hollande et Nicolas Sarkozy l'ont reprise en coeur, selon laquelle on ferait descendre le déficit du pays au-dessous de 3 % du Produit Intérieur Brut, c'est-à-dire de la totalité de la production, des factures, des salaires additionnés dans notre France, que l'an prochain on ferait descendre au-dessous de 3 % le déficit, n'est pas vraie ! Nous donnons des estimations, c'est au moins 30 % de plus que l'on va connaître, au lieu de 3 % on approchera l'année prochaine de 4 % ! Toutes les prédictions qui avaient été bâties par François Hollande et Nicolas Sarkozy sont démenties par cette institution qui occupe une place très importante -parfois trop importante dans le débat public national ! Ils se sont engagés et les experts internationaux disent que cela ne tient pas la route"
23," Enfin, cet après-midi, un institut qui s'appelle l'Institut Montaigne, qui est très proche, en tout cas qui est très loin d'être un ennemi du pouvoir en place, de l'UMP et de Nicolas Sarkozy, cet institut a dit : le programme que Nicolas Sarkozy présente et d'ailleurs celui de François Hollande aussi ne tiennent financièrement pas la route ! 1021 Dans le programme de Nicolas Sarkozy, il y a 20 % de dépenses sous-estimées ou de recettes surestimées"
24," Dans le programme de François Hollande, c'est de l'ordre de 10 %, malgré la multiplication considérable des impôts"
25," En trois informations, en trois affirmations, dont nous ne doutions pas"
26," Moi, je ne suis pas un expert, mais Jean Arthuis oui, même si je sais tout de même lire les chiffres, car je suis, comme certains d'entre vous le savent, le créateur, le Président et même le seul adhérent de l'association pour la défense du calcul mental en France"
27," mai s je sais que, quand l'autre jour, Nicolas Sarkozy disait : ""Le déficit du pays, c'est 103 milliards"""
28," Considérez, je vous prie, ce que représente comme montagne 103 milliards d'euros, comme montagne de déficit transformée en dettes"
29," Considérez ce que cela veut dire : c'est au moins 5 millions de salaires annuels avec les charges des Français !Eh bien, ce déficit-là, Nicolas Sarkozy a dit : ""J'ajoute 12 milliards de dépenses nouvelles"" ! Comment les finance-t-il ? Mystère absolu et il dit : ""mais, en échange, j'ai trouvé 52 milliards d'économies déjà décidées"""
30," Je me suis permis de lui faire remarquer respectueusement -mais quand il s'agit de calcul mental, après tout, le respect n'a pas grand-chose à voir"
31," Dans tous les discours que je tiens tous les soirs devant des assemblées -pas tout à fait aussi brillantes, pas tout à fait aussi intelligentes, pas tout à fait aussi informées que celle qui est ce soir devant moi, mais enfin des gens qui ""tiennent tout de même la route"""
32,"- je m'efforce de dire que, tout au long de ces discours, tout au long de ces interventions, il n'y a pas un mot qui soit un mot partisan, pas un mot qui soit une question d'étiquette, il n'y a pas un mot qui soit une question de préférence"
33," Il n'y a que des faits objectifs, il n'y a que la réalité du pays comme nous la voyons, comme je la vois et comme mes amis présents au premier rang la voient avec moi, il n'y a que les inquiétudes personnelles, familiales, humaines qui sont les vôtres, les nôtres"
34, Qui d'entre vous n'a pas à l'esprit ce qu'est le regard d'un jeune homme ou d'une jeune fille ayant fait des études et qui ne trouve pas d'emploi ?!
35," Dans sa famille -je ne parle pas de théories politiques, je ne parle pas de statistiques, je parle de visages, je parle du regard qui baisse et qui fuit"
36,"- parce que ces garçons et ces filles ils ne comprennent pas pourquoi c'est la cinquantième fois qu'on leur envoie une lettre faite à l'avance, parce qu'ils ont pour la cinquantième fois, et quand je dis cinquantième, c'est parfois centième ou cent-vingtième ou centcinquantième fois, envoyé un curriculum vitae et qu'ils ne reçoivent pas de réponse"
37," C'est pour cela que je suis là ! Ce n'est pas pour une étiquette de parti, ce n'est même pas pour un courant politique et Dieu sait que pour moi cela compte, c'est parce que si nous ne sommes pas là, qui va prendre leur défense en disant : ""Pour nous, c'est « emploi, emploi, emploi », la priorité du pays et quiconque trahit la priorité « emploi, emploi, emploi », celui-là ment et porte atteinte à l'intérêt national"" ? Qui d'entre nous ignore ce que sont les fins de mois difficiles ? Qui d'entre nous ignore, en tout cas pas moi, ce que sont les toutes petites retraites, souvent des femmes, y compris quand elles ont travaillé toute leur vie"
38," Je voyais hier, dans un magazine, une grande photo de ma mère qui vient de s'en aller, sa dernière retraite, vous me l'avez peut-être entendu dire était de 668 €/mois ! Ce n'est pas des dossiers, ce sont des visages, ce sont des familles"
39," C'est l'inquiétude des familles voyant arriver l'inéluctable besoin impératif de maison de retraite et qui se disent : ""mais qu'en est-il du reste à charge ?"", vous savez ces 800 €, 1 000 € par mois"
40," Et, quand on ne peut pas le payer, comment on fait ? C'est pour ces familles que je suis là, parce qu'il n'y a personne pour dire : ""Mesdames et Messieurs, mes chers concitoyens, quelle est la raison de tout cela ? Quelle est la raison de cet appauvrissement dans lequel le pays semble engagé, que chacun regarde comme le sort de sa famille personnelle ?"""
41," Mais, en réalité, additionner la situation de toutes ces familles, c'est du pays qu'il s'agit ! Et Jean Arthuis l'a dit de manière absolument claire"
42," Quand un pays dans son ensemble -qui n'est pas sur ce point différent ni d'une famille ni d'une petite entreprise artisanale, ni d'une petite entreprise commerciale- quand un pays est obligé d'acheter beaucoup plus qu'il ne vend, demandez-vous ce qu'il en est quand sort de la famille beaucoup plus qu'il ne rentre"
43," Eh bien, il se passe le surendettement"
44, Nous nous sommes appauvris l'an dernier de 70 milliards d'euros
45," On a été obligé d'acheter autour de nous, à l'extérieur, 70 milliards de plus que nous n'avons su vendre, sur notre marché"
46," Nous, Français, alors que la France a été le plus grand pays producteur du monde, nous ne sommes même plus capables d'équilibrer nos comptes"
47," Cette auto suffisance-là, nous l'avions encore il y a sept ans ! Au début des années 2000, cela a commencé à décrocher"
48," Certains d'entre vous ont peut- être vu la dernière émission que l'on a fait sur France 2, qui aurait dû être un débat auquel les citoyens auraient eu droit entre les candidats qui se présentaient devant eux avec confrontations et échanges, simplement pour que l'on sache sur quels points allait se jouer l'élection présidentielle, mais cela a été remplacé par dix mini-interviews, puisque comme vous le savez, les deux candidats principaux refusaient de débattre avec les autres, préférant se réserver pour le deuxième tour, dont ils pensent, ils croient, ils ont tout fait pour qu’il soit écrit à l'avance"
49," Donc, dans ce débat-là, vous avez peut-être vu la courbe que M"
50," François Lenglet a présentée sur le tableau d'affichage aux spectateurs et qui est, en effet, l'effondrement de la place de la France dans le commerce européen"
51," Je ne suis pas en train de vous dire dans le commerce mondial, mais en Europe, chez nous, sur notre sol, on a perdu 50 % de la capacité d'exportation de la France, dans des secteurs d'activité considérables, très importants, des secteurs d'activité de la vie de tous les jours, ceux pour lesquels ont fait les courses, ceux par lesquels on équipe sa maison"
52," Nous avons disparu de tous ces secteurs, nous, qui sommes, et c'est ici que je le dis, un immense pays de production et d'industrie aéronautique, un immense pays de production spatiale, un immense pays en matière d'hélicoptères et, chez moi, dans mon village on produit un sur deux des moteurs d'hélicoptères qui volent dans le monde"
53," La France est un grand pays dans les secteurs les plus exigeants de la production mondiale, internationale"
54," Je suis allé l'autre jour, dimanche, visiter à Toulon une des frégates les plus modernes de la marine française, produite chez nous et, quand vous voyez les capacités, l'incroyable technologie qu'il faut pour assumer les radars, les sonars, les repérages dans l'espace, la trajectoire des fusées, la trajectoire des missiles et comment on sait les intercepter, comment nous sommes en avance quasiment sur le monde entier sur ces sujets-là, vous vous dites : ""Et nous, ce pays-là, nous nous laissons exclure de choses aussi simples que l'équipement de la maison, que l'électroménager, que le mobilier et c'est sur ces secteurs-là que nous perdons la bataille !"""
55," Je sais ce que vous pensez tous et que nous avons tous pensé d'une certaine manière, même moi à une certaine époque"
56," Au fond, au début des années 2000, j'avais à l'esprit qu'après tout, il y avait là comme un mouvement des temps, comme une fatalité et que, si nous étions dans cette situation-là, c'est parce que la Chine et les salaires trente fois inférieurs aux nôtres, c'est parce que l'Inde ou la Roumanie sur notre espace européen, avec des salaires cinq fois inférieurs aux nôtres"
57," Moi aussi, pendant longtemps, j'ai cru cela et puis, peu à peu, notamment en raison de discussions avec Jean Arthuis"
58," Peu à peu mes yeux se sont ouverts et je me suis rendu compte de quelque chose d'absolument incroyable que personne ne disait en France et dont j'ai voulu faire le sujet même de la campagne présidentielle : je me suis rendu compte que toutes les explications que l'on nous donnait, que l'on avançait devant nous, si j'ouvrais les yeux, étaient fausses ! On nous dit : c'est parce que l'euro est trop haut"
59, On nous dit surtout : c'est parce que la mondialisation ou la globalisation
60," Tous, vous avez entendu cela, n'est-ce pas ? On vous l'a expliqué, on nous l'a seriné, on nous a tympanisés avec cette idée, mais alors mes chers amis, si c'était la mondialisation, la globalisation, l'Euro, l'Union européenne et le coût du travail, alors comment expliquez-vous ce phénomène qui est pour nous saisissant : c'est que dans la même mondialisation, avec la même globalisation, avec le même Euro, avec les mêmes règles et avec un coût du travail légèrement supérieur, tant que nous prenons le toboggan seuls parmi les pays européens de notre dimension, tant que nous dévalons la pente avec un excédent en 2005, -10 milliards en 2006, puis -20 milliards, puis -30 milliards, puis -40 et -50 milliards et, cette année, -70 milliards et je n'exagère rien ! Il n'y a, dans mon propos, aucun mot qui soit interprété ou surligné, rien de tout cela"
61," Comment expliquez-vous qu'avec la même monnaie, les mêmes règles, le même contexte mondial, le même peuple au fond, le même modèle social à peu près, le même coût du travail, comment expliquez-vous que l'Allemagne, au lieu de faire 70 milliards d'euros de déficit, ait fait l'an dernier, 160 milliards d'excédents ? 160 milliards d'excédents !"
62," Ils ne sont pas plus intelligents de l'autre côté du Rhin, ils ne sont pas plus ""qualité de travail"""
63," On fait l'Airbus ensemble, vous le savez bien, c'est chez vous et chez moi, on fait l'Airbus ensemble, il y a peut -être des gens qui ici travaillent chez Airbus"
64," S'il y en a, ils vous diront que, réellement, on ne peut pas dire que les pièces fabriquées en Allemagne, par rapport aux pièces fabriquées en France, soient de qualité moindre (et même chez nous qui sommes chauvins et qui ne rougissons pas tellement de l'être, chez nous, on chuchote que, même si on veut comparer vraiment, les éléments de l'avion fabriqués chez nous posent assez souvent moins de problèmes que les éléments de l'avion fabriqué en Allemagne"
65,") Je ne cherche pas à ""dorer la pilule"", disons qu'au moins nous sommes au même niveau"
66," Eux, accumulent les bénéfices et, nous, nous accumulons les pertes ! Et alors je pourrais aller plus loin, car la production industrielle de l'Italie du Nord obéit exactement aux mêmes règles et l'Italie elle-même est excédentaire"
67," La Suisse, qui n'est pas en Europe, mais qui a tout de même un coût du travail de 15 à 20 % plus haut que le nôtre, produit, exporte et accumule les bénéfices et les excédents, au point qu'ils sont obligés d'intervenir tous les jours pour que la monnaie ne monte pas trop haut ! Et, nous, Français, seuls dans cette situation en Europe, nous sommes incapables de rivaliser avec tous nos voisins qui nous entourent au sein de cet espace de l'Union européenne « du premier niveau » dirons-nous"
68, La France devrait être en tête des classements en Europe et elle s'enfonce hélas dans les classements des pays dans l'Union européenne
69," Je suis là pour que cela change ! Si ce que je viens de décrire est vrai, et si quelqu'un pense que ce n'est pas vrai, qu'il vérifie qu'il aille sur son ordinateur, sur son moteur de recherche, qu'il vérifie ! Les chiffres que Jean Arthuis et moi donnons à cette tribune sont je vous l’assure absolument exact"
70," Si c'est vrai, alors cela doit être le sujet principal de l'élection présidentielle parce que la raison du chômage, elle est là"
71," La raison de l'appauvrissement du pays, et donc de l'appauvrissement de chacun d'entre nou s, elle est là et la raison du surendettement, elle est là"
72," C'est parce que nous n'avons plus assez d'emplois dans notre pays, assez de production et assez de création, de recherche, que nous n'arrivons plus à payer les charges sociales, que nous n'arrivons plus à payer la CSG, que nous n'arrivons plus à payer les impôts qui font fonctionner la Sécu et les services publics du pays"
73," Alors on emprunte, comme une famille qui a eu un haut 1023 niveau de vie, qui connaît des revers de fortune et qui va quêter un prêt chez un voisin, un prêt chez un cousin"
74, C'est cela qui explique l'endettement du pays
75," Et si c'est vrai, alors bien sûr c'est bouleversant, bien sur c'est saisissant, bien sûr cela devrait être le sujet de cette élection, mais c'est en réalité si vous y réfléchissez une formidable nouvelle, la nouvelle la plus optimiste que nous pouvions connaître dans la préparation de cette élection présidentielle, parce que si c'est vrai, si ce ne sont pas des causes extérieures, alors c'est que ce sont des causes intérieures"
76," Si ce dont « on nous a bourré le mou », pardon d'employer un langage direct, je sais bien qu’en Loire-Atlantique on ne s'exprime pas de cette manière-là, mais concédez aux Pyrénéens que nous sommes de ne pas encore tout à fait avoir atteint le niveau de civilisation qui est celui des Pays de la Loire ! Si ce dont « on nous a bourré le mou » aussi longtemps était vraiment la cause de nos difficultés, alors les autres connaîtraient exactement les mêmes"
77," Eh bien les autres réussissent là où nous échouons et cette question de transformer l'échec en réussite, voilà pour moi la question directrice, la question principale, la question essentielle, la question qui doit faire la matière du projet présidentiel que je propose devant vous"
78, Je n'accepte ni de près ni de loin que la France connaisse la défaite dans les secteurs où nos voisins connaissent le succès
79," Et je propose que cette volonté-là, nous l'inscrivions, nous, en lettres gravées au fronton du projet que je défends devant les Français"
80," Nous avons, dans notre pays des cartes extraordinaires, extraordinaires mais nous ne savons pas les jouer"
81," L'organisation du pays depuis des années, après avoir été brillante et de premier plan, car si vous y réfléchissez tous les secteurs que je viens d'énoncer devant vous qui sont la réussite industrielle et scientifique de la France, la fusée Ariane, les satellites, Airbus, le TGV, les sousmarins absolument remarquables que nous savons produire, l'électricité nucléaire, tout cela, ce sont tous des projets de la fin des années 60, décidés sous la responsabilité du général de Gaulle, sans exception ! Alors je sais très bien que les temps ont changé, ce n'est pas moi qui vais dire le contraire"
82," Je sais très bien que l'État, avec un Président de la République majestueux, qui voyait juste et qui voyait loin et qui s'adressait aux Français non pas comme à des gogos, mais comme à des citoyens, avec des conférences de presse du plus haut niveau mondial, pas comme à des gens à qui ont fait des coups de communication, dirigés par des agences de com', avec l'apostrophe comme on dit, montant des coups avec une idée par jour toujours différente sans aucune cohérence avec les idées précédentes et qui sont d'ailleurs oubliées aussitôt qu'elles sont énoncées tant ce sont des esprits légers qui conduisent une campagne de cette manière-là"
83," On nous fait des campagnes « zapping », mes chers amis c'est exactement le contraire de ce dont un peuple a besoin et de ce dont des citoyens ont besoin pour se forger une conviction et se former une volonté"
84," La démocratie, c'est une volonté, un sillon que l'on creuse, des idées directrices en petit nombre, une volonté qu'on exprime avec trois ou quatre priorités au maximum"
85," Là il peut concentrer sa volonté, concentrer ses efforts, concentrer ses moyens, concentrer sa pensée, concentrer, pour que l'un après l 'autre on vainque les obstacles"
86," Mais si tous les jours on vous propose une idée complètement fumeuse, juste pour faire comme on dit le « buzz », alors ce n'est pas de la démocratie, c'est de la démagogie"
87, Et nous sommes les ennemis de la démagogie en étant dans cette campagne les défenseurs de la démocratie au sens plein et le plus noble du terme
88," Voyez-vous, je citais à Strasbourg une phrase qui est pour moi la maxime la plus importante que j'ai jamais lue dans la vie politique du pays, c'est l'oeuvre d'un philosophe qui a prononcé cette phrase il y a exactement cent ans quasiment jour pour jour au début du XXème siècle, il s'appelait Marc Sangnier, philosophe de la démocratie et même de la démocratie chrétienne"
89," Et Marc Sangnier a dit ceci : ""La démocratie, c’est l'organisation de la société qui porte à son plus haut la conscience et la responsabilité des citoyens"
90, C'est marqué dans la Constitution
91," Personne ne prend ces mots au sérieux ! Le peuple souverain, pas le peuple pour le peuple, par le peuple"
92," Si nous prenons ces mots au sérieux -et je vous assure, si je pouvais, je vous regarderais chacun d'entre vous dans les yeux- je prends ces mots comme les plus profonds qui aient jamais été prononcés dans l'histoire d'un peuple et même dans l'histoire des peuples"
93," La démocratie, c'est une idée formidable, un idéal je veux bien, mais moi je crois un idéal concret, exactement le contraire de la phrase apocryphe, je crois fausse qu'on a prêté à de Gaulle, on lui a fait dire « les Français sont des veaux », mais c'est exactement le contraire de cela, démocratie"
94," Démocratie, c'est au contraire prendre le peuple des citoyens en chaque femme et en chaque homme, en chaque jeune et en chaque personne plus âgée, tellement au sérieux qu'on les traite chacune et chacun comme s'ils étaient les décideurs suprêmes, c'est -à-dire qu'on leur donne tous les éléments de réflexion et qu'on remet entre leurs mains ensuite la décision, tous les éléments de réflexion"
95," Et il suffit de se référer aux conférences de presse du Général de Gaulle prononcées à l'endroit des citoyens français, avec les arguments, la réflexion historique, le projet stratégique pour le pays, et la langue même"
96," Ce n'était pas des interjections au rabais, ce n'était pas faire semblant d'utiliser les expressions les plus rebattues parce qu'on imagine que ceux qui vous écoutent ne peuvent pas comprendre la belle langue ou la langue juste"
97," Moi, j'appartiens à la tradition et à la famille de ceux qui considèrent qu'il est un devoir et un honneur de parler français dans la plus juste acception du terme lorsqu'on s'adresse au peuple des citoyens"
98," On leur doit de s'exprimer avec nuance, justesse et si on peut 1024 avec le goût de la langue française, parce que c'est notre bien commun la langue française et c'est ainsi que nous allons faire ce que -c'est Jaurès qui disait cela- la démocratie exige de ceux qui en ont la responsabilité"
99, C'est tirer les peuples vers le haut au lieu constamment de les rabaisser et de les faire dégringoler et de susciter leurs plus bas instincts et d'aller les chercher là où ils sont le plus trouble
100," Et donc, considérer les citoyens comme les vrais souverains, leur parler des vraies questions,"
101," quand les moments sont graves, ne leur parler que des vraies questions, les prendre comme ils sont, c'est-à-dire des pères, des mères de famille, des enfants, des parents, des grands-parents, des oncles, des tantes, des voisins, des cousins, soucieux de l'avenir de leur pays parce qu'ils savent bien que l'avenir de leur pays, c'est l'avenir de leurs enfants, c'est l'avenir de leurs proches, c'est leur avenir propre"
102," Il ne s'agit pas de politique dans cette affaire, ou plus exactement il s'agit de politique au sens le plus noble du terme, décider ce que nous allons faire ensemble de la cité que nous formons ensemble, décider ce que nous allons faire pour ce peuple et pour ce pays au service duquel nous devons être pour qu’il nous aide à être, plus encore, et mieux encore des citoyens confiants dans leur avenir"
103," Et alors tous ceux qui prennent le peuple des citoyens français pour des consommateurs de publicité au mieux, pour des gogos en vérité, à qui on peut faire croire n'importe quoi, à qui on peut raconter des histoires, promettre des milliards et des milliards et des dizaines de milliards en création de postes, augmentation d'allocations, création de services de toute nature, alors que nous avons déjà 100 milliards de déficit, c'est-à-dire que chacune des promesses articulées, nous n'avons pas le premier centime pour les assumer, le pays ne l'a pas ! Eh bien tous ceux-là, je le dis devant vous comme citoyen, tous ceux-là ils trahissent le peuple français, ils trahissent l'intérêt de la nation, ils sont menteurs et illusionnistes et truqueurs et, mes amis, les menteurs et les truqueurs, il faut les renvoyer chez eux lorsqu'on a l'occasion de le faire"
104," Pour tout vous dire, il m'arrive quelquefois, l'espace d'un dixième de seconde, de me demander s'ils connaissent vraiment la réalité de ce dont ils parlent"
